id,is_active,launch_date
GSAT0101,1,"2011-10-21 10:30:00"
GSAT0102,1,"2011-10-21 10:30:00"
GSAT0103,1,"2012-10-12 18:15:00"
GSAT0104,0,"2012-10-12 18:15:00"
GSAT0201,0,"2014-08-22 12:27:00"
GSAT0202,0,"2014-08-22 12:27:00"
GSAT0203,1,"2015-03-27 21:46:00"
GSAT0204,0,"2015-03-27 21:46:00"
GSAT0205,1,"2015-09-11 02:08:00"
GSAT0206,1,"2015-09-11 02:08:00"
GSAT0207,1,"2016-11-17 13:06:00"
GSAT0208,1,"2015-12-17 11:51:00"
GSAT0209,1,"2015-12-17 11:51:00"
GSAT0210,0,"2016-05-24 08:48:00"
GSAT0211,1,"2016-05-24 08:48:00"
GSAT0212,1,"2016-11-17 13:06:00"
GSAT0213,1,"2016-11-17 13:06:00"
GSAT0214,1,"2016-11-17 13:06:00"
GSAT0215,1,"2017-12-12 18:36:00"
GSAT0216,1,"2017-12-12 18:36:00"
GSAT0217,1,"2017-12-12 18:36:00"
GSAT0218,1,"2017-12-12 18:36:00"
GSAT0219,1,"2018-07-25 11:25:00"
GSAT0220,1,"2018-07-25 11:25:00"
GSAT0221,1,"2018-07-25 11:25:00"
GSAT0222,1,"2018-07-25 11:25:00"
GSAT0223,1,"2021-12-05 00:19:00"
GSAT0224,1,"2021-12-05 00:19:00"
GSAT0225,1,"2024-05-28 00:34:00"
GSAT0227,1,"2024-05-28 00:34:00"
